time,latitude,longitude,depth,mag
2021-10-24T07:07:52.140Z,38.235,-112.6866667,8.02,3.26
2021-10-24T07:00:20.352Z,61.793,-151.0945,76.9,1.9
2021-10-24T06:49:12.020Z,32.9675,-115.876,11.15,3.55
2021-10-24T06:43:38.029Z,38.1725,-117.881,11.1,1
2021-10-24T06:43:15.200Z,34.0493333,-117.215,8.71,0.85
2021-10-24T06:42:41.323Z,61.4762,-149.9337,33,1.9
2021-10-24T06:36:33.690Z,19.18366623,-155.4284973,33.34000015,1.85000002
2021-10-24T06:31:56.640Z,19.20416641,-155.4179993,34.93999863,2.43
2021-10-24T06:31:14.320Z,19.21649933,-155.4160004,33.27999878,2.32
2021-10-24T06:29:46.477Z,63.0537,-143.3275,4.4,1.6
2021-10-24T06:29:26.330Z,19.20633316,-155.4168396,33.47000122,2.00999999
2021-10-24T06:24:23.260Z,35.8581667,-117.6633333,6.8,0.85
2021-10-24T06:17:16.240Z,36.8753319,-121.3408356,9.28,1.98
2021-10-24T06:04:48.230Z,65.5703,-148.0358,4,1.6
2021-10-24T05:57:00.120Z,18.293,-68.3611,45,3.28
2021-10-24T05:49:53.778Z,38.15,-117.8458,8.4,0.7
2021-10-24T05:46:54.650Z,38.8238335,-122.8519974,1.84,0.37
2021-10-24T05:33:53.624Z,59.7783,-152.9962,100.1,2.5
2021-10-24T05:25:52.060Z,17.9605,-66.9553,10,2.83
2021-10-24T05:23:01.200Z,19.70549965,-155.7226715,94.77999878,2.68000007
2021-10-24T05:11:34.344Z,24.5714,121.8303,64.52,6.2
2021-10-24T05:10:06.718Z,-31.4252,-69.1665,148.38,4
2021-10-24T05:08:19.260Z,19.17700005,-155.4714966,37.59000015,2.18000007
2021-10-24T05:07:53.355Z,60.5491,-141.1712,11.4,1.4
2021-10-24T05:07:43.020Z,38.8271675,-122.8531647,2.18,0.92
2021-10-24T05:01:23.400Z,36.0311667,-117.8101667,1.25,1.2
2021-10-24T04:59:17.239Z,18.7884,-74.0606,10,4.1
2021-10-24T04:59:06.200Z,37.599,-118.8278333,3.74,1.47
2021-10-24T04:56:52.140Z,38.8264999,-122.8525009,2.33,0.46
2021-10-24T04:36:39.540Z,38.8250008,-122.8538361,2.1,0.96
2021-10-24T04:34:23.120Z,38.8276672,-122.8546677,2.07,0.36
2021-10-24T04:24:08.180Z,38.8106651,-122.8525009,4.04,0.86
2021-10-24T04:17:26.550Z,38.8236656,-122.8535004,1.97,0.37
2021-10-24T04:16:41.890Z,38.8233337,-122.856163,2.07,1.2
2021-10-24T04:15:50.320Z,38.824501,-122.8546677,1.97,1.6
2021-10-24T04:13:18.000Z,38.8248329,-122.8560028,2.38,0.85
2021-10-24T04:13:02.240Z,38.824501,-122.8539963,1.97,1.11
2021-10-24T04:12:16.920Z,38.8261681,-122.8538361,2.41,1
2021-10-24T04:10:04.200Z,38.8248329,-122.8546677,2.34,0.74
2021-10-24T04:09:22.630Z,38.8243332,-122.8529968,2.26,2.56
2021-10-24T04:01:49.900Z,38.8246651,-122.8529968,2.09,0.26
2021-10-24T03:59:46.215Z,62.4686,-149.043,45.4,1.9
2021-10-24T03:58:57.811Z,38.5709,-119.4652,4.9,1.1
2021-10-24T03:58:27.040Z,38.8269997,-122.8570023,2.29,0.85
2021-10-24T03:56:37.230Z,38.8266678,-122.8523331,2.16,0.37
2021-10-24T03:55:35.220Z,38.8216667,-122.8608322,1.88,0.85
2021-10-24T03:54:23.950Z,38.8224983,-122.8564987,2.38,1.64
2021-10-24T03:54:12.240Z,38.8218346,-122.8573303,2.59,1.29
2021-10-24T03:53:39.770Z,38.8251648,-122.8539963,2.48,2.83
2021-10-24T03:51:42.655Z,64.3861,-146.7407,4.2,3.4
2021-10-24T03:46:23.130Z,38.8011665,-122.8154984,2.81,1.2
2021-10-24T03:37:05.189Z,47.9332,-114.0958,5,2.5
2021-10-24T03:25:24.810Z,35.9015,-117.7106667,8.46,0.52
2021-10-24T03:22:10.045Z,1.5675,126.4385,41.76,4.8
2021-10-24T03:20:28.408Z,59.8239,-153.0179,91.7,1.9
2021-10-24T03:16:36.120Z,33.5726667,-116.5983333,15.31,0.66
2021-10-24T03:05:34.210Z,17.8265,-66.821,6,2.53
2021-10-24T03:00:16.530Z,38.8256683,-122.8553314,1.96,0.85
2021-10-24T02:57:36.370Z,38.8253326,-122.8551636,2.34,2.07
2021-10-24T02:55:39.118Z,40.0064,-120.2049,2.9,1.1
2021-10-24T02:50:16.750Z,34.0513333,-118.949,9.92,1.78
2021-10-24T02:27:54.892Z,63.1337,-151.4799,10.9,1.7
2021-10-24T02:20:27.580Z,35.7703333,-117.5876667,8.61,1.19
2021-10-24T02:20:25.741Z,38.5302,-119.5218,3.9,1.4
2021-10-24T02:07:05.064Z,64.1869,-147.411,0,1.9
2021-10-24T02:04:25.910Z,35.7216667,-117.5711667,8.65,0.68
2021-10-24T02:00:58.270Z,38.7893333,-122.7641678,9.97,1.19
2021-10-24T01:56:59.690Z,36.0763333,-117.8406667,1.95,0.7
2021-10-24T01:55:14.300Z,38.7659988,-122.7068329,1.49,0.72
2021-10-24T01:45:09.980Z,19.21249962,-155.425827,32.90000153,2.14
2021-10-24T01:39:56.740Z,33.6331667,-116.6831667,11.98,0.58
2021-10-24T01:28:35.650Z,34.057,-117.2576667,15.17,1.33
2021-10-24T01:13:17.650Z,19.48866653,-155.4881592,3.410000086,2.05999994
2021-10-24T01:09:12.990Z,37.5856667,-121.685997,12.93,1.34
2021-10-24T00:57:40.099Z,38.5816,-119.4698,0.6,1.2
2021-10-24T00:57:32.242Z,61.7169,-142.5188,1.9,1.8
2021-10-24T00:38:36.163Z,38.2057,-117.7474,2.9,1.8
2021-10-24T00:20:00.800Z,37.4926667,-118.8611667,2.54,0.25
2021-10-24T00:09:49.220Z,51.666,-178.5723333,17.85,1.26
2021-10-24T00:02:44.880Z,34.6435,-118.5731667,9.08,1.77
2021-10-23T23:59:34.070Z,19.14566612,-155.4230042,33.31999969,1.85000002
2021-10-23T23:51:53.260Z,33.836,-118.2693333,8.58,1.49
2021-10-23T23:49:25.982Z,62.1569,-148.5454,21.4,2.1
2021-10-23T23:47:58.640Z,19.19750023,-155.4018402,31.80999947,1.83000004
2021-10-23T23:43:01.040Z,38.5201683,-119.5358353,4.46,1.99
2021-10-23T23:34:27.950Z,-4.6319,102.0482,66.14,4.7
2021-10-23T23:28:51.564Z,64.9295,-147.4229,0,1.5
2021-10-23T23:08:28.945Z,8.5344,127.1032,10,5
2021-10-23T23:02:32.793Z,56.3541,-156.5456,29.4,3.3
2021-10-23T22:51:21.512Z,63.2569,-152.6854,16.8,1.8
2021-10-23T22:51:12.877Z,39.2922,-118.8782,0,1.8
2021-10-23T22:47:27.057Z,17.3016,-62.1067,92.71,4.6
2021-10-23T22:46:38.151Z,63.9758,-150.2836,14.6,1.6
2021-10-23T22:22:27.576Z,59.9079,-152.0602,27.6,1.9
2021-10-23T22:15:16.210Z,38.810833,-122.7938309,2.8,0.76
2021-10-23T22:10:07.840Z,37.5048333,-118.8193333,5.89,0.62
2021-10-23T22:04:51.980Z,18.5931,-67.0761,78,3.09
2021-10-23T22:02:36.370Z,38.8068352,-122.8213348,2.21,1.34
2021-10-23T21:57:53.627Z,38.1946,-117.8894,8.8,0.9
2021-10-23T21:49:51.080Z,38.8165016,-122.8098297,2.13,0.99
2021-10-23T21:49:08.560Z,33.387,-116.2971667,11.18,1.62
2021-10-23T21:48:49.720Z,37.8450012,-122.0391693,8.96,1.55
2021-10-23T21:48:29.240Z,19.17933333,-155.4346667,34.02,1.52
2021-10-23T21:46:28.460Z,39.5638351,-120.3219986,-1.95,3.25
2021-10-23T21:46:06.737Z,38.2053,-117.8892,6.7,1.6
2021-10-23T21:45:05.060Z,33.1658333,-115.9473333,5.99,1.89
2021-10-23T21:42:49.650Z,38.8330002,-122.8178329,1.53,0.39
2021-10-23T21:25:03.270Z,38.8341675,-122.8171692,1.57,1.18
2021-10-23T21:24:47.530Z,34.1108333,-117.319,16.37,2.04
2021-10-23T21:17:38.360Z,38.8246651,-122.80233,2.23,0.83
2021-10-23T21:17:09.640Z,35.0185,-118.9438333,16.78,1.39
2021-10-23T21:16:32.340Z,35.7385,-117.5536667,11,0.89
2021-10-23T21:12:54.616Z,38.2099,-117.8643,10.1,2.5
2021-10-23T21:08:06.706Z,61.5019,-150.6843,61.4,1.7
2021-10-23T21:07:48.630Z,37.5713333,-118.7465,6.68,0.73
2021-10-23T21:00:01.500Z,33.6998333,-116.9876667,11.71,0.92
2021-10-23T20:51:16.509Z,61.8123,-150.0166,47.6,1.6
2021-10-23T20:38:47.391Z,60.1973,-140.9768,15.4,1.9
2021-10-23T20:36:14.225Z,61.0544,-150.7553,31.5,1.7
2021-10-23T20:22:11.310Z,38.8224983,-122.8138351,2.19,0.85
2021-10-23T19:43:39.290Z,-22.0636,-68.6769,122.89,4.1
2021-10-23T19:38:57.480Z,19.23800087,-155.3963318,32.77000046,2.35
2021-10-23T19:29:26.260Z,19.18033409,-155.4743347,37.36000061,2.18000007
2021-10-23T19:26:14.983Z,37.803,-118.0697,15.8,1.6
2021-10-23T19:18:36.950Z,39.027832,-123.3236694,3.47,1.92
2021-10-23T19:15:43.200Z,51.8695,-177.8485,3.04,0.45
2021-10-23T19:13:42.610Z,61.23116667,-152.132,9.96,-0.7
2021-10-23T19:09:55.890Z,35.948,-117.333,3.86,1.45
2021-10-23T19:09:00.220Z,33.2418333,-116.7895,10.06,0.7
2021-10-23T18:53:28.804Z,38.2104,-117.8871,6,1.6
2021-10-23T18:51:48.361Z,60.0054,-140.7698,4.8,2.5
2021-10-23T18:51:07.270Z,38.8279991,-122.8681641,2.77,0.85
2021-10-23T18:47:34.150Z,38.8168335,-122.8191681,2.7,0.5
2021-10-23T18:40:22.830Z,38.8451653,-122.815834,1.16,0.97
2021-10-23T18:39:05.940Z,34.2093333,-117.4548333,11.12,1.31
2021-10-23T18:37:06.540Z,34.2125,-117.4546667,10.5,1.84
2021-10-23T18:20:51.980Z,51.87516667,-177.8203333,4.24,0.29
2021-10-23T18:18:09.570Z,34.64,-118.57,8.21,1.73
2021-10-23T17:50:04.220Z,38.7649994,-122.8411636,5.36,0.45
2021-10-23T17:27:55.282Z,37.3759,-117.1329,4.3,1.4
2021-10-23T17:14:48.210Z,33.161,-115.9523333,10.04,1.46
2021-10-23T17:14:21.560Z,39.0306664,-123.322998,2.13,1.39
2021-10-23T17:13:28.237Z,64.4741,-151.7818,3.3,1.8
2021-10-23T17:09:24.323Z,63.3601,-144.9178,6.8,1.4
2021-10-23T17:00:45.940Z,38.8321648,-122.81633,1.63,0.66
2021-10-23T16:58:29.610Z,33.9981667,-117.2281667,10.74,0.84
2021-10-23T16:31:34.310Z,19.17433357,-155.4643402,35.61000061,2.00999999
2021-10-23T16:29:17.270Z,18.1188,-68.2541,92,3.81
2021-10-23T16:28:35.780Z,36.9576683,-121.5878296,3.98,2.29
2021-10-23T16:16:32.464Z,60.0953,-140.6464,4.7,1.7
2021-10-23T16:12:50.550Z,33.16,-115.9501667,7.21,2.47
2021-10-23T16:04:40.740Z,36.3610001,-121.4919968,6.89,1.5
2021-10-23T16:02:09.200Z,44.9736667,-113.0191667,7.36,1.6
2021-10-23T15:54:23.450Z,35.6491667,-117.4416667,6.2,0.95
2021-10-23T15:53:04.780Z,33.7418333,-116.7965,10.3,0.54
2021-10-23T15:36:45.070Z,37.9928322,-122.2496643,9.05,2.1
2021-10-23T15:34:07.132Z,38.521,-119.5058,6.2,1.2
2021-10-23T15:29:33.690Z,17.9433,-66.9821,10,2.61
2021-10-23T15:23:51.260Z,19.3605,-155.471,8.53,3.19
2021-10-23T15:10:42.690Z,35.7416667,-117.5635,8.64,1.82
2021-10-23T15:08:07.120Z,38.841835,-122.8255005,1.88,0.8
2021-10-23T14:55:22.489Z,59.6394,-151.8166,19.6,1.7
2021-10-23T14:54:57.790Z,19.19633293,-155.4795074,36.59000015,1.88999999
2021-10-23T14:38:19.190Z,38.8198318,-122.7938309,1.05,0.84
2021-10-23T14:32:39.180Z,33.2418333,-116.7916667,9.97,0.61
2021-10-23T14:32:29.040Z,33.2413333,-116.7928333,9.71,0.73
2021-10-23T14:31:46.360Z,33.7006667,-116.81,15.5,1.07
2021-10-23T14:19:18.190Z,33.0581667,-115.5806667,10.16,1.49
2021-10-23T14:18:56.267Z,61.1004,-151.5853,25,1.3
2021-10-23T14:17:52.692Z,-37.5163,50.8989,10,4.9
2021-10-23T14:16:06.150Z,18.5741,-66.1973,71,3.08
2021-10-23T13:56:09.730Z,19.40649986,-155.668335,3.180000067,2.11
2021-10-23T13:34:44.980Z,37.9941673,-122.2505035,9.76,2.75
2021-10-23T13:31:34.760Z,38.8376656,-122.8010025,2.14,0.46
2021-10-23T13:31:31.810Z,17.988,-66.8183,12,2.87
2021-10-23T13:22:33.680Z,32.9106667,-115.5233333,11.83,2.33
2021-10-23T13:00:50.488Z,38.1458,-117.8962,8.9,1.9
2021-10-23T12:41:58.510Z,19.17200089,-155.4810028,32.72000122,2.31999993
2021-10-23T12:32:43.120Z,19.21433258,-155.4095001,35.65999985,1.72000003
2021-10-23T12:30:17.640Z,37.5845,-118.7306667,9.17,2.21
2021-10-23T12:23:13.219Z,69.1119,-144.7088,0,2.7
